StudentID,StudyHoursWeekly,AttendancePct,PreviousExamScore,ParentalLevel,Extracurricular,FinalGrade
STU_501,18.5,92.0,85.0,Master,Yes,A
STU_502,12.0,84.5,72.0,Bachelor,No,B
STU_503,6.5,70.0,58.0,HighSchool,No,C
STU_504,22.0,96.0,91.0,Master,Yes,A
STU_505,4.0,62.0,48.0,HighSchool,No,D
STU_506,15.0,88.0,79.0,Bachelor,Yes,B
STU_507,20.0,94.0,88.0,Master,Yes,A
STU_508,9.0,76.0,64.0,Bachelor,No,C
STU_509,14.0,85.0,75.0,Bachelor,Yes,B
STU_510,5.0,65.0,52.0,HighSchool,No,D
STU_511,19.0,93.0,86.0,Master,No,A
STU_512,11.5,82.0,70.0,Bachelor,No,B
STU_513,7.0,72.0,60.0,HighSchool,Yes,C
STU_514,16.5,90.0,82.0,Master,Yes,B
STU_515,24.0,98.0,95.0,Master,Yes,A
STU_516,3.5,58.0,45.0,HighSchool,No,D
STU_517,13.0,86.0,74.0,Bachelor,Yes,B
STU_518,21.0,95.0,89.0,Master,Yes,A
STU_519,8.5,74.0,62.0,HighSchool,No,C
STU_520,15.5,89.0,80.0,Bachelor,No,B
STU_521,17.0,91.0,84.0,Master,Yes,A
STU_522,10.0,78.0,68.0,Bachelor,No,C
STU_523,23.0,97.0,93.0,Master,Yes,A
STU_524,6.0,68.0,55.0,HighSchool,No,D
STU_525,14.5,87.0,77.0,Bachelor,Yes,B
STU_526,18.0,92.5,87.0,Master,Yes,A
STU_527,12.5,83.0,71.0,Bachelor,No,B
STU_528,7.5,71.0,59.0,HighSchool,No,C
STU_529,25.0,99.0,96.0,Master,Yes,A
STU_530,4.5,60.0,50.0,HighSchool,No,D
