Property_ID,SquareFeet,Bedrooms,Bathrooms,YearBuilt,Neighborhood,GarageCars,SalePrice
PROP_201,1750,3,2.0,2005,Suburbs,2,245000
PROP_202,2100,4,2.5,2012,Downtown,2,320000
PROP_203,1450,2,1.5,1998,Suburbs,1,195000
PROP_204,2800,4,3.0,2018,Uptown,3,415000
PROP_205,1200,2,1.0,1985,Rural,1,148000
PROP_206,1900,3,2.0,2008,Suburbs,2,260000
PROP_207,3200,5,3.5,2020,Uptown,3,485000
PROP_208,1600,3,1.5,1995,Downtown,1,225000
PROP_209,2400,4,2.5,2015,Downtown,2,355000
PROP_210,1350,2,1.0,1990,Rural,1,162000
PROP_211,1800,3,2.0,2004,Suburbs,2,250000
PROP_212,2250,4,2.5,2011,Downtown,2,335000
PROP_213,2950,4,3.0,2019,Uptown,3,440000
PROP_214,1500,3,1.5,1996,Suburbs,1,210000
PROP_215,2600,4,2.5,2016,Uptown,2,380000
PROP_216,1100,2,1.0,1982,Rural,1,135000
PROP_217,1950,3,2.0,2009,Downtown,2,285000
PROP_218,3400,5,4.0,2021,Uptown,3,520000
PROP_219,1700,3,2.0,2002,Suburbs,2,238000
PROP_220,2300,4,2.5,2014,Downtown,2,345000
PROP_221,1400,2,1.0,1992,Rural,1,170000
PROP_222,2750,4,3.0,2017,Uptown,2,405000
PROP_223,1650,3,1.5,2000,Suburbs,1,228000
PROP_224,2050,3,2.0,2010,Downtown,2,310000
PROP_225,3100,4,3.5,2020,Uptown,3,470000
PROP_226,1250,2,1.0,1988,Rural,1,152000
PROP_227,1850,3,2.0,2006,Suburbs,2,258000
PROP_228,2500,4,2.5,2015,Downtown,2,365000
PROP_229,1550,3,1.5,1997,Suburbs,1,218000
PROP_230,2850,4,3.0,2018,Uptown,3,425000
PROP_231,1300,2,1.0,1989,Rural,1,159000
PROP_232,2150,3,2.5,2013,Downtown,2,325000
PROP_233,3500,5,4.0,2022,Uptown,3,540000
PROP_234,1780,3,2.0,2005,Suburbs,2,248000
PROP_235,2380,4,2.5,2014,Downtown,2,350000
PROP_236,1180,2,1.0,1984,Rural,1,142000
PROP_237,1920,3,2.0,2007,Suburbs,2,265000
PROP_238,2700,4,2.5,2016,Uptown,2,395000
PROP_239,1620,3,1.5,1999,Suburbs,1,222000
PROP_240,3050,4,3.5,2019,Uptown,3,460000
